,task_name,train_set_id,n_shot_per_class,accuracy,macro_f1,ood_rate,n,pred_dist,label_dist
21,beaver_tails,1,8,0.56,0.46576007770762506,0.0,100,"{""no"": 78, ""yes"": 22}","{""no"": 64, ""yes"": 36}"
22,beaver_tails,2,8,0.56,0.47619047619047616,0.0,100,"{""no"": 76, ""yes"": 24}","{""no"": 64, ""yes"": 36}"
23,beaver_tails,3,8,0.43,0.42719324690985827,0.0,100,"{""no"": 29, ""yes"": 71}","{""no"": 64, ""yes"": 36}"
24,beaver_tails,4,8,0.57,0.5242836596968692,0.0,100,"{""no"": 67, ""yes"": 33}","{""no"": 64, ""yes"": 36}"
25,boolq,0,8,0.45,0.4472917294744247,0.0,100,"{""no"": 65, ""yes"": 35}","{""no"": 42, ""yes"": 58}"
26,boolq,1,8,0.6,0.5659722222222222,0.0,100,"{""no"": 30, ""yes"": 70}","{""no"": 42, ""yes"": 58}"
27,boolq,2,8,0.53,0.5160127690248172,0.0,100,"{""no"": 41, ""yes"": 59}","{""no"": 42, ""yes"": 58}"
28,boolq,3,8,0.59,0.5464100011063171,0.0,100,"{""no"": 27, ""yes"": 73}","{""no"": 42, ""yes"": 58}"
29,boolq,4,8,0.47,0.46952257031328193,0.0,100,"{""no"": 55, ""yes"": 45}","{""no"": 42, ""yes"": 58}"
30,brag_action,0,8,0.97,0.49238578680203043,0.0,100,"{""not bragging"": 100}","{""bragging"": 3, ""not bragging"": 97}"
31,brag_action,1,8,0.97,0.49238578680203043,0.0,100,"{""not bragging"": 100}","{""bragging"": 3, ""not bragging"": 97}"
32,brag_action,2,8,0.97,0.49238578680203043,0.0,100,"{""not bragging"": 100}","{""bragging"": 3, ""not bragging"": 97}"
33,brag_action,3,8,0.93,0.48186528497409326,0.0,100,"{""bragging"": 4, ""not bragging"": 96}","{""bragging"": 3, ""not bragging"": 97}"
34,brag_action,4,8,0.96,0.4897959183673469,0.0,100,"{""bragging"": 1, ""not bragging"": 99}","{""bragging"": 3, ""not bragging"": 97}"
35,circa,0,8,0.35,0.3256561884012864,0.0,100,"{""no"": 88, ""yes"": 12}","{""no"": 31, ""yes"": 69}"
36,circa,1,8,0.31,0.2366412213740458,0.0,100,"{""no"": 100}","{""no"": 31, ""yes"": 69}"
37,circa,2,8,0.31,0.2841581076875195,0.0,100,"{""no"": 88, ""yes"": 12}","{""no"": 31, ""yes"": 69}"
38,circa,3,8,0.31,0.2366412213740458,0.0,100,"{""no"": 100}","{""no"": 31, ""yes"": 69}"
39,circa,4,8,0.38,0.37094155844155846,0.0,100,"{""no"": 81, ""yes"": 19}","{""no"": 31, ""yes"": 69}"
40,clickbait,0,8,0.5,0.46374946374946374,0.0,100,"{""no"": 85, ""yes"": 15}","{""no"": 41, ""yes"": 59}"
41,clickbait,1,8,0.78,0.7549019607843137,0.0,100,"{""no"": 27, ""yes"": 73}","{""no"": 41, ""yes"": 59}"
42,clickbait,2,8,0.43,0.32775091402288004,0.0,100,"{""no"": 98, ""yes"": 2}","{""no"": 41, ""yes"": 59}"
43,clickbait,3,8,0.64,0.6363636363636364,0.0,100,"{""no"": 69, ""yes"": 31}","{""no"": 41, ""yes"": 59}"
44,clickbait,4,8,0.54,0.5166036149642708,0.0,100,"{""no"": 81, ""yes"": 19}","{""no"": 41, ""yes"": 59}"
45,climate_commitments_actions,0,8,0.64,0.3902439024390244,0.0,100,"{""no"": 100}","{""no"": 64, ""yes"": 36}"
46,climate_commitments_actions,1,8,0.7,0.5765104460756635,0.0,100,"{""no"": 90, ""yes"": 10}","{""no"": 64, ""yes"": 36}"
47,climate_commitments_actions,2,8,0.64,0.3902439024390244,0.0,100,"{""no"": 100}","{""no"": 64, ""yes"": 36}"
48,climate_commitments_actions,3,8,0.65,0.419665063836843,0.0,100,"{""no"": 99, ""yes"": 1}","{""no"": 64, ""yes"": 36}"
49,climate_commitments_actions,4,8,0.64,0.3902439024390244,0.0,100,"{""no"": 100}","{""no"": 64, ""yes"": 36}"
50,climate_fever,0,8,0.33,0.16004901960784312,0.0,100,"{""not enough info"": 87, ""supported"": 13}","{""disputed"": 13, ""not enough info"": 33, ""refuted"": 16, ""supported"": 38}"
51,climate_fever,1,8,0.32,0.12307692307692308,0.0,100,"{""disputed"": 3, ""not enough info"": 97}","{""disputed"": 13, ""not enough info"": 33, ""refuted"": 16, ""supported"": 38}"
52,climate_fever,2,8,0.24,0.17697072575121356,0.0,100,"{""disputed"": 69, ""not enough info"": 30, ""supported"": 1}","{""disputed"": 13, ""not enough info"": 33, ""refuted"": 16, ""supported"": 38}"
53,climate_fever,3,8,0.3,0.16561146933308413,0.0,100,"{""disputed"": 14, ""not enough info"": 83, ""supported"": 3}","{""disputed"": 13, ""not enough info"": 33, ""refuted"": 16, ""supported"": 38}"
54,climate_fever,4,8,0.35,0.1973872073101085,0.0,100,"{""not enough info"": 70, ""supported"": 30}","{""disputed"": 13, ""not enough info"": 33, ""refuted"": 16, ""supported"": 38}"
55,climate_sentiment,0,8,0.37,0.18004866180048662,0.0,100,"{""risk"": 100}","{""neutral"": 47, ""opportunity"": 16, ""risk"": 37}"
56,climate_sentiment,1,8,0.37,0.18004866180048662,0.0,100,"{""risk"": 100}","{""neutral"": 47, ""opportunity"": 16, ""risk"": 37}"
57,climate_sentiment,2,8,0.4,0.3465822692713449,0.0,100,"{""neutral"": 2, ""opportunity"": 50, ""risk"": 48}","{""neutral"": 47, ""opportunity"": 16, ""risk"": 37}"
58,climate_sentiment,3,8,0.41,0.31202582728006456,0.0,100,"{""opportunity"": 19, ""risk"": 81}","{""neutral"": 47, ""opportunity"": 16, ""risk"": 37}"
59,climate_sentiment,4,8,0.38,0.22058823529411764,0.0,100,"{""opportunity"": 1, ""risk"": 99}","{""neutral"": 47, ""opportunity"": 16, ""risk"": 37}"
60,cola,0,8,0.68,0.40476190476190477,0.0,100,"{""acceptable"": 100}","{""acceptable"": 68, ""unacceptable"": 32}"
61,cola,1,8,0.68,0.40476190476190477,0.0,100,"{""acceptable"": 100}","{""acceptable"": 68, ""unacceptable"": 32}"
62,cola,2,8,0.59,0.4737517648568862,0.0,100,"{""acceptable"": 79, ""unacceptable"": 21}","{""acceptable"": 68, ""unacceptable"": 32}"
63,cola,3,8,0.62,0.5287698412698413,0.0,100,"{""acceptable"": 76, ""unacceptable"": 24}","{""acceptable"": 68, ""unacceptable"": 32}"
64,cola,4,8,0.67,0.40119760479041916,0.0,100,"{""acceptable"": 99, ""unacceptable"": 1}","{""acceptable"": 68, ""unacceptable"": 32}"
65,copa,0,8,0.52,0.34210526315789475,0.0,100,"{""cause"": 100}","{""cause"": 52, ""effect"": 48}"
66,copa,1,8,0.51,0.33774834437086093,0.0,100,"{""cause"": 99, ""effect"": 1}","{""cause"": 52, ""effect"": 48}"
67,copa,2,8,0.51,0.45011783189316573,0.0,100,"{""cause"": 81, ""effect"": 19}","{""cause"": 52, ""effect"": 48}"
68,copa,3,8,0.51,0.33774834437086093,0.0,100,"{""cause"": 99, ""effect"": 1}","{""cause"": 52, ""effect"": 48}"
69,copa,4,8,0.51,0.33774834437086093,0.0,100,"{""cause"": 99, ""effect"": 1}","{""cause"": 52, ""effect"": 48}"
70,covid_fake_news,0,8,0.65,0.6368917937545389,0.0,100,"{""fake"": 38, ""real"": 62}","{""fake"": 43, ""real"": 57}"
71,covid_fake_news,1,8,0.59,0.5849782366636299,0.0,100,"{""fake"": 68, ""real"": 32}","{""fake"": 43, ""real"": 57}"
72,covid_fake_news,2,8,0.58,0.5772946859903382,0.0,100,"{""fake"": 49, ""real"": 51}","{""fake"": 43, ""real"": 57}"
73,covid_fake_news,3,8,0.44,0.3333333333333333,0.0,100,"{""fake"": 97, ""real"": 3}","{""fake"": 43, ""real"": 57}"
74,covid_fake_news,4,8,0.49,0.4498975299320462,0.0,100,"{""fake"": 84, ""real"": 16}","{""fake"": 43, ""real"": 57}"
75,dbpedia_14,0,8,0.24,0.17740117025831312,0.0,100,"{""album"": 66, ""animal"": 2, ""artist"": 4, ""company"": 2, ""film"": 15, ""plant"": 7, ""written work"": 4}","{""album"": 6, ""animal"": 5, ""artist"": 9, ""athlete"": 6, ""building"": 4, ""company"": 11, ""educational institution"": 6, ""film"": 7, ""mean of transportation"": 9, ""natural place"": 6, ""office holder"": 9, ""plant"": 8, ""village"": 5, ""written work"": 9}"
76,dbpedia_14,1,8,0.33,0.2901722953566272,0.0,100,"{""album"": 25, ""animal"": 4, ""artist"": 13, ""company"": 2, ""film"": 7, ""mean of transportation"": 28, ""natural place"": 6, ""office holder"": 2, ""plant"": 10, ""village"": 3}","{""album"": 6, ""animal"": 5, ""artist"": 9, ""athlete"": 6, ""building"": 4, ""company"": 11, ""educational institution"": 6, ""film"": 7, ""mean of transportation"": 9, ""natural place"": 6, ""office holder"": 9, ""plant"": 8, ""village"": 5, ""written work"": 9}"
77,dbpedia_14,2,8,0.06,0.008086253369272238,0.0,100,"{""album"": 100}","{""album"": 6, ""animal"": 5, ""artist"": 9, ""athlete"": 6, ""building"": 4, ""company"": 11, ""educational institution"": 6, ""film"": 7, ""mean of transportation"": 9, ""natural place"": 6, ""office holder"": 9, ""plant"": 8, ""village"": 5, ""written work"": 9}"
