,task_name,train_set_id,n_shot_per_class,accuracy,macro_f1,ood_rate,n,pred_dist,label_dist
49,senteval_subj,0,0,0.43,0.3006993006993007,0.0,100,"{""subjective"": 100}","{""objective"": 57, ""subjective"": 43}"
50,silicone_dyda_da,0,0,0.33,0.18467194570135748,0.0,100,"{""directive"": 22, ""inform"": 4, ""question"": 74}","{""commissive"": 6, ""directive"": 17, ""inform"": 47, ""question"": 30}"
51,sms_spam,0,0,0.82,0.5738636363636364,0.0,100,"{""ham"": 86, ""spam"": 14}","{""ham"": 90, ""spam"": 10}"
52,sst2,0,0,0.61,0.45765540258656656,0.0,100,"{""negative"": 4, ""positive"": 96}","{""negative"": 43, ""positive"": 57}"
53,sst5,0,0,0.2,0.11787648970747563,0.0,100,"{""positive"": 44, ""very negative"": 56}","{""extremely positive"": 18, ""negative"": 29, ""neutral"": 17, ""positive"": 21, ""very negative"": 15}"
54,student_question_categories,0,0,0.38,0.30686178861788616,0.0,100,"{""biology"": 6, ""maths"": 93, ""physics"": 1}","{""biology"": 9, ""chemistry"": 19, ""maths"": 32, ""physics"": 40}"
55,tcfd_recommendations,0,0,0.14,0.11843257095180708,0.0,100,"{""governance"": 59, ""metrics"": 2, ""none"": 5, ""risk"": 32, ""strategy"": 2}","{""governance"": 8, ""metrics"": 14, ""none"": 17, ""risk"": 14, ""strategy"": 47}"
56,this_is_not_a_dataset,0,0,0.47,0.42832488404702834,0.0,100,"{""false"": 81, ""true"": 19}","{""false"": 46, ""true"": 54}"
57,toxic_conversations,0,0,0.72,0.4791666666666667,0.0,100,"{""not toxic"": 75, ""toxic"": 25}","{""not toxic"": 93, ""toxic"": 7}"
58,trec,0,0,0.31,0.18492618492618493,0.0,100,"{""Location"": 6, ""Number"": 93, ""Person"": 1}","{""Abbreviation"": 1, ""Description"": 26, ""Entity"": 21, ""Location"": 16, ""Number"": 24, ""Person"": 12}"
59,wic,0,0,0.52,0.34210526315789475,0.0,100,"{""yes"": 100}","{""no"": 48, ""yes"": 52}"
60,wiki_hades,0,0,0.44,0.3055555555555556,0.0,100,"{""hallucinated"": 99, ""not hallucinated"": 1}","{""hallucinated"": 45, ""not hallucinated"": 55}"
61,wiki_qa,0,0,0.78,0.5431893687707641,0.0,100,"{""no"": 75, ""yes"": 25}","{""no"": 97, ""yes"": 3}"
62,wsc,0,0,0.61,0.45765540258656656,0.0,100,"{""false"": 90, ""true"": 10}","{""false"": 63, ""true"": 37}"
63,yahoo_answers_topics,0,0,0.31,0.2967937892860493,0.0,100,"{""business & finance"": 13, ""computers & internet"": 1, ""education & reference"": 23, ""family & relationships"": 8, ""health"": 10, ""politics & government"": 1, ""science & mathematics"": 6, ""society & culture"": 33, ""sports"": 5}","{""business & finance"": 11, ""computers & internet"": 13, ""education & reference"": 11, ""entertainment & music"": 8, ""family & relationships"": 13, ""health"": 5, ""politics & government"": 11, ""science & mathematics"": 5, ""society & culture"": 9, ""sports"": 14}"
